Group,Sample ID,Samp m [g],UTM east [m],UTM north [m],Longitude,Latitude,Samp type,Depth [m] (min),Depth [m] (max),Cond electr [µS/cm],pH,Al [mg/kg],As [mg/kg],B [mg/kg],Ba [mg/kg],Be [mg/kg],Ca [mg/kg],Cd [mg/kg],Ce [mg/kg],Co [mg/kg],Cr [mg/kg],Cu [mg/kg],Fe [mg/kg],Ga [mg/kg],Gd [mg/kg],Ge [mg/kg],K [mg/kg],La [mg/kg],Mg2+ [mg/kg],Mn [mg/kg],Mo [mg/kg],Na [mg/kg],Nb [mg/kg],Nd [mg/kg],Ni [mg/kg],P [mg/kg],Pb [mg/kg],S [mg/kg],Sc [mg/kg],Si [mg/kg],Sr [mg/kg],Th [mg/kg],Ti [mg/kg],V [mg/kg],Y [mg/kg],Zn [mg/kg],Zr [mg/kg]
5,3,0.302,391951,6465434,115.8568,-31.9419,Soil.wetland,0,0.05,69.8,6.17,9325.735875,10.24153,,198.74321,0.31272,7032.01783,0.67165,7.72575,7.5613,30.2068,200.13626,46046.7176,13.08438,1.60542,2.62277,293.80909,4.4077,731.20413,251.45945,1.42841,249.94574,21.43761,,22.97139,1267.64791,1038.10368,680.53211,1.54347,803.90086,46.70245,3.69693,252.60781,40.62209,4.13275,638.29651,1.86573
5,4,0.305,391961,6465431,115.8569,-31.94193,Soil.wetland,0,0.05,103.8,6.21,6049.911391,7.79791,,192.41941,0.23475,7719.38539,0.54743,9.75723,5.48506,17.33363,184.63376,26566.28035,8.48806,1.33479,1.65023,208.79669,4.77402,616.77631,170.82268,1.05991,108.824,11.9536,2.30176,17.00453,728.31625,318.62178,347.23321,1.09936,921.43588,75.55602,2.65915,135.18879,20.12765,3.03039,547.47691,0.95013
5,5,0.3,391973,6465448,115.8571,-31.94177,Soil.wetland,0,0.05,104.2,6.77,7103.353939,1.99741,,135.15391,0.26736,2630.28892,0.42605,15.49853,6.01639,13.7606,68.00639,19820.90788,5.73044,1.22883,1.11455,266.77234,6.26265,657.70757,150.7874,0.72924,212.13449,11.90177,3.78921,12.63624,268.1336,288.74776,154.69592,1.35851,1122.81033,21.17371,3.64419,138.9314,20.64882,3.63585,336.44,3.14799
5,6,0.302,391977,6465458,115.8571,-31.94169,Soil.wetland,0,0.05,390,6.64,19750.00655,4.6278,,418.54184,0.87612,4807.95742,0.26633,36.53403,12.94122,21.50427,109.83931,34857.30921,17.03659,2.92226,1.83708,566.58158,14.94218,2501.9289,201.55087,0.98039,632.16608,9.20781,11.14714,13.66007,239.63622,238.31203,292.6658,4.45499,1887.8955,47.67775,9.40554,90.35185,46.84421,9.80245,310.33762,4.39491
5,7,0.302,391962,6465458,115.857,-31.94168,Soil.wetland,0,0.05,121.7,6.24,13715.95962,13.99546,,196.91891,0.58758,8649.55558,0.22349,28.18568,14.75243,32.01297,624.08061,51068.71016,21.53915,2.58596,2.55073,676.21907,12.8945,1904.43204,299.52565,1.42865,265.09712,7.67256,7.90239,39.64941,600.69477,576.73621,467.27306,2.73397,1624.94242,41.95997,6.01693,68.24837,29.56931,8.16689,293.31106,2.16336
5,8,0.303,391972,6465490,115.8571,-31.9414,Soil,0,0.05,96.5,6.72,3279.367505,1.94536,4.30612,68.5752,0.0992,4696.57224,0.12302,5.12988,1.37545,7.44989,35.65098,7739.597536,1.74926,0.45314,0.5608,187.15042,2.79156,476.6966,60.83422,0.50482,118.48009,7.69965,1.41925,4.23271,328.30089,118.81255,371.31214,0.39724,610.87786,30.1574,1.15767,88.3741,9.1115,1.58432,231.78517,0.88276
5,9,0.303,391972,6465488,115.8571,-31.94141,Soil,0,0.05,227,7.03,6750.448443,1.6572,8.55133,35.1185,0.10003,23237.1494,0.07943,4.93639,0.90299,15.70531,22.47454,15420.90647,4.70239,0.71097,1.91729,333.63046,3.09113,1182.23925,53.4448,0.82269,725.19085,14.36302,,3.75073,367.27083,78.35163,572.79129,0.80133,623.62363,115.06429,2.6542,159.33462,37.35269,2.47685,127.71689,2.33234
5,10,0.31,391978,6465504,115.8571,-31.94127,Soil,0,0.05,835,6.77,11212.95065,1.45712,12.6171,17.3703,0.04873,7470.19843,0.04626,8.17159,,11.6041,10.83495,6219.542483,2.26503,0.34814,1.02688,231.21504,2.13159,633.43398,33.67408,0.57853,348.29239,8.46047,1.09274,1.17905,366.23018,10.47374,424.54751,0.8339,576.18941,40.12493,2.71652,96.88165,17.26008,1.79357,32.97703,3.19035
5,11,0.302,391978,6465524,115.8571,-31.94109,Soil,0,0.05,179.5,8.01,2779.569624,1.87274,13.64265,21.24905,0.06026,43504.37,0.04207,3.69025,,6.51231,8.3586,2483.31695,,0.49408,1.72586,242.18312,2.54226,830.46124,65.06058,0.18498,485.82627,10.68441,,1.05492,251.04833,16.58608,222.79217,0.32887,522.54018,92.52874,0.41312,109.19828,7.82733,2.55433,40.96653,0.42984
6,1,0.31,391959,6465444,115.8569,-31.94181,Sediment,0,0.05,19.97,6.85,42780.96765,3.63558,,253.99076,1.73634,7399.84013,0.25805,77.16363,21.35414,28.3482,64.58559,40942.80875,24.57609,5.0386,2.83789,710.04886,27.84227,4936.74712,161.29465,0.85014,216.24151,8.97927,22.24009,20.55741,300.39727,147.17186,401.16208,8.94178,2119.89409,42.39749,16.41243,43.00472,61.77787,18.79571,220.78763,5.06074
